symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IFNAR1	0.6065741393925125	0.9559680860826969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8360062832427205	No data	No data	1	1	0	0	1	0	0	No data	0.8099282956425813	-0.9420523855689313	0	No data	No data	0	-1	-1
KMT2D	0.6055174542776649	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9323013038429667	0.19090562485670537	No data	No data	No data	No data	No data	0.7201135535014848	No data	No data	No data	1	0	0	0	0	0.44915999999999984	No data	-0.9836734693877551	-0.8213071887193585	0	No data	No data	0	-1	-1
EP300	0.60466240371438	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9110280098934269	No data	No data	No data	No data	0.25229128100882275	No data	0.9235309532711399	No data	No data	No data	0	0	1	1	1	0.695525	1	-0.9749586321014893	-0.96779428623433	0	No data	255	0	-1	-1
MET	0.6029513973938527	0.17362334710121896	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9260033460271955	No data	No data	No data	No data	No data	No data	0.9302887140926502	No data	No data	1	1	1	1	1	1	0.44604500000000014	1	-0.7445118587975731	-0.9472229089292411	0	255	255	0	0.5	0
BRCA1	0.6028394936793732	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9147058154872606	0.24175070995914313	No data	No data	No data	No data	No data	0.7416764393807426	No data	No data	No data	0	0	0	1	0	0	No data	-0.1446221731936017	-0.9504880419654926	0	No data	255	No data	-1	-1
CUX1	0.6027487650256858	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9166174459538149	0.2797434509121564	No data	No data	No data	No data	No data	0.22151885409405453	No data	No data	No data	0	0	0	0	0	0.5016599999999997	No data	-0.9036955322669609	-0.8780216359871384	0	No data	No data	0	-1	-1
PREX2	0.6023354317243621	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9239897499693703	0.2063412275294502	No data	No data	No data	No data	No data	0.6849446011746032	No data	No data	No data	0	0	0	0	0	0.6668750000000003	No data	-0.5010479867622725	-0.26147697585218926	0	No data	255	0	-1	0
ESR1	0.6017566119745494	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.893333248383727	0.28459204762640566	No data	No data	No data	No data	No data	0.7993592186224346	No data	No data	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	255	255	0	0.5	0
FAT4	0.6003511431375437	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9321603717983165	0.1707391281931577	No data	No data	No data	No data	No data	0.5709100540595097	No data	No data	No data	0	0	0	0	0	0.568535	No data	-0.8735797021511307	-0.8032900328343828	0	No data	255	0	-1	0
ATR	0.5995174668584003	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9102202149840498	0.2797434509121564	No data	No data	No data	No data	No data	0.2702084422123462	No data	No data	0.7	0	0	1	1	0	0.5234499999999997	1	-0.668284611141754	-0.9379272499487609	-1	No data	255	0	-1	0
ROS1	0.5983688425597813	0.14438356443276001	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9335573592099329	No data	No data	No data	No data	No data	No data	0.6578126860727984	No data	No data	1	0	0	1	1	0	0.021784999999999853	0	0.04236072807501379	0	0	No data	255	0	0.75	0.5
POLQ	0.5982532816220931	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9070431799402298	0.29879198150280106	No data	No data	No data	No data	No data	0.10530205762963293	No data	No data	No data	0	0	0	0	0	0	1	0.10568119139547716	-0.09119418529606738	0	No data	No data	0	0.5	0.5
GRIN2A	0.5972572633249399	0.06079307976116211	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9383806118190829	No data	No data	No data	No data	No data	No data	0.7461489622752496	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	255	255	0	1	0.5
NTRK1	0.596859036994447	0.16211487936309896	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9239701929971599	No data	No data	No data	No data	No data	No data	0.7779996746972834	No data	No data	1	0	0	1	1	1	0.32789	1	-0.026585769442912355	-0.8612938282270538	0	255	255	0	0.5	0.5
ERBB2	0.5967277207826209	0.12158615952232422	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9256610606170856	No data	No data	No data	No data	No data	No data	0.8480231080664733	No data	No data	1	1	0	1	1	1	0.38247	1	-0.6678433535576394	-0.9660855487877462	0	255	No data	0	-1	-1
