Gene Symbol,log2FC,p-value,oncogene_score
UGCG,2.5994,0.00120134,0.0988164
AKT1S1,2.40663,2.29192e-10,0.0191063
APCDD1,-2.7159,1.55132e-07,0.0298061
CDCA7L,-2.66208,4.02857e-09,0.00983757
FOPNL,2.983,0.000110376,
MGLL,-2.32708,0.000256705,0.0441981
C12orf75,2.47827,0.000274844,0.0112209
MRAS,-3.11443,7.4564e-08,0.0226184
PDK4,-2.86428,1.2352e-05,0.100222
SKIL,2.47741,0.000289488,0.0582522
METTL2A,2.40079,9.3949e-07,0.0266905
GPAM,-4.46053,0.000168408,0.0259205
ODF2,2.66842,9.06655e-08,
UHRF1,2.45371,0.00292732,0.1114
SPOPL,2.67834,5.82549e-07,
CTHRC1,4.4779,2.39231e-09,0.120188
ROBO4,-2.72816,1.26963e-11,0.0577974
DUSP4,2.45155,0.00123365,0.380207
TMCO3,2.57343,9.56012e-11,
DGAT2,-4.75601,0.00923205,0.0218173
PIGR,-4.6245,2.19251e-08,0.122418
CDS1,2.36945,1.08181e-06,0.0393076
COL8A1,3.21598,1.05024e-05,0.095538
ATP8B1,2.98156,8.5139e-07,0.00258706
PGM5,-2.30116,3.82557e-08,0.0881837
HSPB6,-3.97744,0.00118633,0.0851896
ADAMTS2,2.6587,8.46686e-05,0.00940375
CDC42,2.38601,4.9558e-08,0.109403
ETNK1,3.23822,5.73732e-05,0.509671
PTPRS,-2.82235,8.53848e-12,0.0133459
AKAP2,-2.31425,5.70604e-09,
SPTBN1,-2.79676,1.21704e-09,0.0442095
MAGI3,2.6172,0.000220052,0.0541641
ADAM12,2.9429,2.13607e-05,0.103647
ADAMTS9,-2.52334,5.09917e-10,0.118985
FST,2.71078,0.000795206,0.101345
LRRN1,3.15993,0.00938101,0.00930916
PPP1R14C,-2.44287,1.39392e-06,0.0936498
SOX8,-2.5852,0.00525469,0.0982247
FNDC1,4.69667,7.00913e-06,0.0869086
PRR15,3.81536,5.35434e-05,0.0909237
PPP1R14A,-4.63444,6.74212e-12,0.0282798
DNALI1,2.61068,0.00373829,0.0238317
INHBA,4.45187,8.18728e-06,0.113923
LOXL4,-3.70168,4.77408e-05,0.0993727
KIAA1551,2.30983,0.000906319,
SLC2A13,2.43075,0.000466951,0.00275132
CORO2A,2.56835,0.000245577,0.0848931
SUSD3,5.22956,0.000155763,0.0594193
MIR143HG,-2.77414,4.31918e-10,
TMEM37,-3.49528,1.21428e-05,0.122516
AFF3,2.50329,0.001178,0.571601
EVL,3.13846,1.19785e-05,0.0177632
SLC29A4,-2.87661,0.000987227,0.00441443
CDYL2,2.33134,0.001318,0.234234
ITGA9,-2.59357,2.0163e-10,0.0301935
MYEOV,-3.61335,0.00563345,0.250931
PLAC9,-3.823,1.24356e-08,0.0193461
ERP27,4.90611,0.00323523,0.0118517
NME7,2.76278,0.000116178,0.00638036
GNAI1,-2.91589,1.88909e-05,0.0269366
CPAMD8,-2.57834,8.23157e-12,0.112263
RPS23,3.03955,5.1009e-05,0.370542
TRIM59,3.63116,4.09446e-06,0.0940829
FGD3,2.46643,2.58958e-05,0.0673324
TNFRSF19,3.57822,2.10937e-05,0.0239833
LGR6,-3.53457,2.55646e-09,0.438763
CDC42EP5,-2.49773,8.21103e-09,0.0206521
KLHL13,-4.87089,5.89271e-09,0.0370094
VIT,-2.58231,1.28335e-05,0.0104258
LINC00086,-4.05742,5.26114e-11,
ZNF595,-5.31194,3.85944e-10,
RBM6,2.59848,6.86911e-08,0.0407227
RSPO3,-3.94144,0.000689384,0.509934
AGR3,4.34316,0.000117571,0.11076
FMO2,-2.79937,0.00145885,0.0376682
NFIX,-2.41636,7.461e-09,0.10836
PLIN4,-6.08451,3.58003e-05,0.0234375
AIFM2,-2.60053,6.12627e-05,0.0844217
SPHKAP,-2.52906,0.000185017,0.0191424
LINC01116,2.52575,0.000727568,0.0350695
MYZAP,-3.77244,0.000890025,0.0172431
PEAR1,-3.10306,6.89617e-12,0.0802762
HOTAIRM1,-2.76738,4.47853e-13,0.0650724
MIAT,4.47991,0.000480729,0.107729
SORCS2,2.89041,0.00552454,0.010623
GPR146,-3.99306,1.07329e-06,0.0134464
FAM110B,2.51554,0.000559682,0.0057404
RBPMS2,-3.17338,0.000110909,0.00446027
ST6GAL2,4.08192,0.00294865,0.0839756
NUDT7,-2.36936,5.94635e-07,0.00573577
FAM162B,-2.50433,3.30697e-05,0.0086708
NAT8L,-2.84049,1.99218e-06,0.00714139
MAMDC2,-2.41062,2.19888e-08,0.0464303
STAC2,-3.01562,1.07027e-05,0.0555653
ATOH8,-3.70976,0.000212519,0.0549647
DACH1,3.00765,0.0035039,0.110141
EMP1,-2.46707,3.70958e-05,0.0970443
CCDC125,2.71375,1.87352e-05,
C1orf213,-2.74862,0.000827166,
ANP32E,5.00186,1.32713e-06,0.0977295
COL1A2,2.69351,9.35272e-07,0.0445779
ANKRD28,2.79169,0.000363266,
KLHL29,-2.75417,3.03487e-07,0.0829571
RUFY3,2.78301,1.50671e-06,0.0137695
GRTP1,2.43411,3.53135e-05,0.00164179
C1orf64,2.83079,0.00193231,
THRSP,-2.7928,0.00271015,0.0852543
MAGI2-AS3,-2.78795,0.000754863,0.0199192
ANKDD1A,-2.31742,0.000119954,0.0757639
MS4A14,3.94447,0.00377906,0.00227813
TBX3,2.42908,0.00956295,0.751893
PIP4K2A,4.54369,1.73014e-05,0.418008
SPX,-4.33388,0.00138115,0.0153376
NUDT3,2.43443,3.89067e-07,0.0200907
MAPKAP1,2.6853,1.34184e-07,0.0810537
SLC16A7,-4.36712,0.00334593,0.0806691
KIAA0907,3.09724,0.000191328,
PRIMA1,-2.59241,2.03566e-06,0.0220147
ETV5,-3.01321,1.1525e-07,0.52241
F2RL2,2.85014,8.42234e-05,0.0441579
SVIP,2.36829,8.47343e-07,0.087442
SEC14L2,3.83624,0.00442928,0.036868
SCGB3A1,-5.54389,8.03118e-05,0.0703186
TNS4,-2.46282,5.7113e-09,0.0406334
IRX1,-4.20945,2.85214e-11,0.0625023
SLC20A1,2.77562,6.97827e-06,0.0885875
SLC25A27,-2.80447,1.87751e-10,0.0316334
LRRC16A,2.96653,4.81014e-05,
COL6A6,-4.30661,1.69069e-06,0.0806612
GALNT10,4.43453,1.59133e-05,0.0125144
FUNDC2,-2.64706,3.33419e-07,0.0841175
BTNL9,-4.20075,2.69134e-05,0.050247
KLF15,-2.42261,4.15419e-05,0.0996065
KGFLP2,-2.82796,1.39288e-10,
ANKRD35,-3.02297,1.42118e-13,0.174495
DIO2,3.65525,0.00362362,0.018241
CCM2L,-2.73154,5.53225e-05,0.00405048
